 immunotherapy,2
 Oxaliplatin,2
 EGFR,3
amrubicin,2
 Stomach neoplasms,2
 Video-assisted thoracic surgery,2
 symptoms,2
 angiogenesis,3
cancer,5
 Lung cancer,8
 Lung neoplasms,3
Brain metastasis,3
Chemoradiotherapy,2
 KRAS,2
PET,2
 hypoxia,3
 targeted therapy,4
 cancer,5
 lung cancer,31
 epidermal growth factor receptor,2
 Extracorporeal membrane oxygenation,2
 incidence,2
 erlotinib,4
 gefitinib,3
 mutation,4
 Maintenance therapy,2
Chemotherapy,2
 recurrence,2
Hepatocellular carcinoma,2
 acquired resistance,2
 staging,2
 cetuximab,3
 chemotherapy,6
 NSCLC,4
 mediastinum,2
 Prognosis,2
,5332
ALK,2
Colorectal cancer,2
 osteoclast,2
 oxaliplatin,2
 prognosis,4
EGFR,5
 metastasis,7
Endobronchial ultrasound,2
 epidemiology,2
 nanoparticles,3
Carcinoma,2
 Polymorphism,2
 Non-small cell lung cancer,3
 X-Ray Computed,2
 pemetrexed,4
 inflammation,4
 lung adenocarcinoma,2
 gemcitabine,2
lung,2
 prostate cancer,2
non-small cell lung cancer,2
COPD,3
 non-small cell lung cancer,19
Lobectomy,3
Non-small-cell lung cancer,2
 apoptosis,2
 vinorelbine,2
 oxidative stress,2
NSCLC,5
 mediastinal lymphadenopathy,2
 fine needle aspiration,2
 Neoplasm metastasis,2
chemotherapy,3
 surgery,5
breast cancer,3
 non-small-cell lung cancer,2
 pulmonary nodules,2
 biomarkers,2
 Erlotinib,3
 radiation,2
 Tomography,2
Lung cancer,3
Cytology,2
 screening,2
Birt-Hogg-Dubé syndrome,2
bevacizumab,3
 hepatocyte growth factor,2
 Ras,2
 smoking,2
 EGFR inhibitor,2
 histology,2
 Surgery,4
 tyrosine kinase inhibitor,3
lung cancer,3
