reported,3
focus,3
assess,2
initiated,2
PET/CT,7
generate,2
FFPE,3
Phase,2
rat,5
rates,3
Knowledge,2
effects,3
Participants,3
EMBASE,3
21,5
dietary,2
UK,3
treatment,8
NSCLC,35
university,2
power,2
CLL,2
outcome,2
tumours,4
radical,3
detect,2
RNA,3
activity,3
pain,4
day,6
interval,2
provided,5
parameters,4
phantom,2
multicentre,3
combination,4
immunotherapy,2
efficacy,2
consecutive,19
carcinoma,3
additional,3
metastases,6
PCR,5
disease,2
risk,4
lesion,2
international,2
tumor,8
unresectable,2
standard,4
colorectal,5
methods,2
method,6
IV,4
NET,2
esophagectomy,2
orally,2
genes,4
interventional,2
Ireland,2
Clinical,4
cells,11
Department,3
evaluate,2
models,2
sites,4
systematic,4
CPRD,2
particle,2
scenario,2
protein,2
Texas,2
local,2
prognosis,2
chain,3
association,3
identified,21
national,3
17,3
design,4
biopsies,2
methylation,2
IA,5
μg/mL,8
analysed,3
ii,2
adrenal,3
bone,3
women,3
VATS,6
Shizuoka,2
Embase,2
IRI,2
cross-sectional,2
invasive,5
program,3
participants,2
axial,2
observation,2
2011,35
mice,3
lymph,2
multinational,2
invasion,5
ALDH,3
leukemia,2
follow-up,10
imaging,4
sample,4
cohort,17
hospital,8
observational,6
22,2
days,5
registry,2
bleomycin,2
examinations,3
potential,3
lepidic,2
platinum-based,2
scans,4
assigned,3
select,2
age-standardized,2
lobectomy,15
pathological,2
cultured,2
centers,2
cisplatin,3
countries,2
etoposide,2
prostate,7
analyze,2
electroporation,2
population-based,4
1-,2
inhibitors,2
MGMT,2
blood,4
phase,4
EBC,2
dissection,4
carried,4
response,2
objective,2
therapeutic,2
oncology,2
model,7
interventions,2
metastatic,8
low,2
retrieved,2
Taiwan,5
confirmed,4
single-center,2
Agilent,2
care,4
conducted,30
2008,15
preoperative,4
neuroendocrine,2
DDP,3
performance,5
June,5
HCC,2
Seoul,2
controlled,6
average,2
smoking,4
institutional,5
institute,2
liver,3
stage,24
interviewed,2
Organization,2
median,2
advanced,6
cell,26
erlotinib,2
history,3
American,4
trial,9
histology,3
case-control,3
SS,2
computed,5
window,2
performing,2
repair,2
January,17
lesions,5
features,3
metastasis,10
telephone,2
searched,7
xenograft,2
involved,3
randomly,4
Center,9
solitary,2
18,3
miners,2
analyses,4
node,4
cm,4
characteristics,4
gene,4
SEER,2
final,2
nonsmokers,3
initial,4
left,2
data,25
Chinese,2
brain,3
cancers,4
IIIB,2
physicians,3
reviewed,27
based,7
micro,2
images,2
compared,8
assay,5
primary,15
DNA,5
MTT,2
cardiothoracic,3
examined,7
esophageal,6
