2015third quarter,2094
2020forth quarter,3230
2014third quarter,1993
2014second quarter,1428
2011forth quarter,5320
2016second quarter,1309
2016forth quarter,3378
2019third quarter,2260
2021fist quarter,62
2017forth quarter,3169
2016third quarter,2731
2019forth quarter,2108
2012forth quarter,6135
2020fist quarter,585
2020second quarter,283
2020third quarter,2500
2014forth quarter,2484
2018third quarter,3016
2021forth quarter,3
2017third quarter,3760
2021third quarter,3
2013second quarter,652
2018forth quarter,1856
2013third quarter,2013
2013forth quarter,2386
2010forth quarter,4808
2015second quarter,1463
2013fist quarter,867
2015forth quarter,2576
